ClubId,Club,Campus,ClubSocials,ClubDescription,ClubHasWebsite,Keywords,Topics
C1,ACM-W,RR Campus,https://www.instagram.com/acmw.pesu,"Empower women to feel confident in participating in technology Spread research culture - host seminars and discussions to educate women on stepping forward in research domains
Enable women to have efficient coding skills to thrive in the tech world",0,"['tech','women', 'coding', 'seminars', 'discussions','research', 'technology']","[(1, 0.8851927976003161)]"
C2,Aikya,RR Campus,https://www.instagram.com/aikya_pesu,We are a social organization that aims at transforming young individuals into responsible citizens of tomorrow.,1,"['responsible','social']","[(0, 0.0251403349831854), (1, 0.6938476870769617), (7, 0.01084132232282313)]"
C3,CSR CLUB PESU,RR Campus,https://www.instagram.com/csr.pesu,"To inculcate social values, sustainability and self awareness among students",1,"['sustainability','social', 'awareness']","[(0, 0.018855237082830833), (1, 0.770385779462278)]"
C4,DHRUVA Forum,RR Campus,https://www.facebook.com/profile.php?id=100069012651108,"We groom principle-centred cheerful leaders, by educating them in various fields of personality development, so that they are well aware of the tough challenges that life has to offer them and to the society",1,"['development', 'personality', 'groom', 'leaders', 'educating']","[(0, 0.012570221714157313), (1, 0.013591083619480322), (11, 0.8376366692587218)]"
C5,DSGNR,RR Campus,https://www.instagram.com/dsgnr_pesu,"
We are a creative community for everyone! The platform to showcase your artistic talent, learn and share skills in a mentor-mentee arrangement, and attend many events like webinar, workshops, etc to enhance your knowledge and skills about design and art",1,"['art', 'talent', 'workshops','design', 'artistic','creative']","[(0, 0.010774461142082383), (1, 0.8687918340265522)]"
C6,Equinox-The Space Club,RR Campus,https://www.instagram.com/equinox.pes,We are a club for all Space Science and Technology related activity.,1,"['technology', 'Space Science and Technology', 'space', 'science']","[(1, 0.8851928096010936)]"
C7,Game development club,RR Campus,https://www.instagram.com/pesu.gdc,Promote and encourage developers to create and design games,0,"['developers', 'design', 'create','games']","[(0, 0.8150834025587743), (1, 0.016309410677311693)]"
C8,Google Developer Student Clubs (GDSC),RR Campus,https://www.instagram.com/dscpesu.rr,Google Developer Student Clubs are community groups for college and university students interested in Google developer technologies.,1,"['Google', 'technologies', 'Google Developer Student Clubs', 'developer']","[(1, 0.8851929185680435)]"
C9,HackerSpace,RR Campus,https://www.instagram.com/peshackerspace/?hl=en,"We are a technical Development Club that aims to foster a community of tech enthusiasts and developers and aims to provide a platform for like-minded individuals to grow, learn and code together.",1,"['developers', 'development','tech', 'code','technical']","[(0, 0.012570206922720956), (1, 0.8469238041073507)]"
C10,IEEE PESU Student Branch,RR Campus,https://www.instagram.com/ieeepesu,To introduce IEEE and it's vast divisions along with conducting technical events.,1,"['ieee','IEEE', 'technical']","[(0, 0.01885539812124425), (1, 0.77038561842386)]"
C11,IEEE RAS,RR Campus,https://instagram.com/ieee.ras.pesu,We aim to promote diligent growth about various fields of Robotics and Automation. We conduct various hands-on sessions to make students aware of new technologies.,1,"['technologies','Robotics and Automation','automation','robotics']","[(0, 0.8679166174153817), (1, 0.011649677753252841)]"
