EventID,Event,Campus,Event Organizer,Description,Prize Pool,Event Date,Keywords,Topics
E1,Tech Empowerment Workshop,RR Campus,ACM-W,"A hands-on workshop focused on empowering women in technology. Participants will engage in coding exercises, discussions on the latest tech trends, and gain valuable insights to boost their confidence in the tech world.",,2023-05-05 0:00:00,"['trends', 'focused', 'research', 'world', 'empowering', 'valuable',  'discussions', 'confidence', 'latest', 'gain',  'workshop', 'technology', 'hands', 'insights', 'seminars', 'women', 'exercises', 'coding',  'boost']","[(1, 0.9540771298459843)]"
E2,Research Symposium,RR Campus,ACM-W,An interactive symposium showcasing women's contributions to research. Attendees will have the opportunity to learn about cutting-edge research in various domains and participate in insightful discussions.,Certificate of Recognition,2023-10-15 0:00:00,"['areas', 'student',  'showcasing', 'present', 'symposium',  'findings', 'projects', 'various', 'discussions', 'research', 'gain', 'methodologies', 'problems', 'insights']","[(1, 0.27325715670447365), (42, 0.6661386188374439)]"
E3,Coding Challenge Marathon,RR Campus,ACM-W,"A coding marathon designed to enhance coding skills among women in technology. Participants will solve challenging problems, compete with peers, and strengthen their coding abilities.",Amazon Gift Cards,2024-01-08 0:00:00,"['compete', 'research', 'skills', 'strengthen', 'solve',  'discussions', 'peers', 'challenging', 'enhance', 'abilities', 'technology', 'seminars', 'designed', 'women', 'coding', 'marathon', 'technology', 'problems']","[(0, 0.634857686065684), (21, 0.31693517232231877)]"
E4,Women in Tech Panel Discussion,RR Campus,ACM-W,"A panel discussion featuring successful women in the tech industry. Panelists will share their experiences, insights, and advice, inspiring participants to pursue and excel in technology-related fields.",Networking Opportunities,2024-01-20 0:00:00,"['pursue', 'share', 'fields', 'advice', 'excel', 'research', 'discussion',  'successful', 'discussions', 'experiences', 'inspiring', 'featuring', 'technology', 'panelists', 'insights', 'related', 'seminars', 'women', 'industry', 'coding', 'panel', 'technology']","[(1, 0.960067069024676)]"
E5,AI for Beginners Workshop,RR Campus,ACM-W,"A beginner-friendly workshop introducing the basics of artificial intelligence. Participants will gain hands-on experience with AI tools and applications, fostering an understanding of this rapidly evolving field.",AI Learning Resources,2024-02-02 0:00:00,"['tools', 'field', 'beginner', 'friendly', 'understanding', 'research', 'introducing',  'intelligence', 'artificial', 'discussions', 'basics', 'gain', 'AI', 'ai', 'workshop', 'technology', 'hands', 'seminars', 'women', 'fostering', 'rapidly', 'experience', 'coding', 'evolving', 'applications', 'technology']","[(0, 0.7529456398446488), (1, 0.21583080705092134)]"
E6,Women in Tech Hackathon,RR Campus,ACM-W,"An inclusive hackathon promoting collaboration and creativity. Teams will work on tech projects, showcasing their skills and innovative solutions to real-world problems.",Tech Gadgets,2024-02-15 0:00:00,"['real', 'projects', 'collaboration', 'research', 'skills', 'world', 'innovative', 'showcasing', 'discussions', 'hackathon', 'teams', 'promoting', 'work', 'inclusive', 'technology', 'creativity', 'seminars', 'women', 'solutions', 'coding', 'technology', 'problems']","[(0, 0.959800763099266)]"
E7,Career Development Seminar,RR Campus,ACM-W,"A seminar focusing on career development strategies for women in technology. Industry professionals will provide insights into career paths, networking, and skill-building for success.",Resume Review Services,2024-03-05 0:00:00,"['success', 'research', 'professionals', 'paths', 'development', 'skill', 'networking', 'strategies', 'discussions', 'building', 'focusing', 'provide', 'technology', 'seminars', 'insights', 'women', 'seminar', 'industry', 'coding', 'technology', 'career']","[(1, 0.9582519294467158)]"
E8,Code and Coffee Social,RR Campus,ACM-W,"A casual networking event where participants can discuss coding, tech trends, and share experiences over coffee. An opportunity for attendees to connect with like-minded individuals.",,2024-03-18 0:00:00,"['share', 'trends', 'technology', 'individuals', 'research', 'coffee', 'networking',  'discussions', 'experiences', 'attendees', 'casual',  'connect', 'technology', 'discuss', 'seminars', 'women', 'coding', 'minded', 'like', 'event']","[(1, 0.9562639292903999)]"
E9,Women in Tech Leadership Summit,RR Campus,ACM-W,"A summit focused on leadership in the tech industry. Keynote speakers and interactive sessions will empower women to take on leadership roles, driving positive change in the tech world.",Leadership Books,2024-04-02 0:00:00,"['sessions', 'roles', 'focused', 'research', 'world', 'leadership',   'speakers', 'keynote', 'discussions', 'driving', 'change', 'technology', 'seminars', 'women', 'empower', 'industry', 'coding', 'technology', 'summit']","[(0, 0.7084905651150445), (7, 0.2469064955269272)]"
E10,Tech Innovation Showcase,RR Campus,ACM-W,A showcase featuring innovative projects and technologies led by women in technology. Participants will have the opportunity to present their work and gain recognition for their contributions.,Innovation Awards,2024-04-15 0:00:00,"['projects', 'research', 'innovative', 'recognition',  'discussions', 'gain', 'contributions', 'present', 'led',  'work', 'featuring', 'technology', 'seminars', 'women', 'coding', 'showcase', 'technology', 'technology']","[(1, 0.9516601324052751)]"
