Event ID,Event,Campus,Event Organizer,Description,Prize Pool,Event Date
E53,Tech Empowerment Workshop,RR Campus,ACM-W,"A hands-on workshop focused on empowering women in technology. Participants will engage in coding exercises, discussions on the latest tech trends, and gain valuable insights to boost their confidence in the tech world.",None,2023-12-05
E54,Research Symposium,RR Campus,ACM-W,"An interactive symposium showcasing women's contributions to research. Attendees will have the opportunity to learn about cutting-edge research in various domains and participate in insightful discussions.",Certificate of Recognition,2023-12-15
E55,Coding Challenge Marathon,RR Campus,ACM-W,"A coding marathon designed to enhance coding skills among women in technology. Participants will solve challenging problems, compete with peers, and strengthen their coding abilities.",Amazon Gift Cards,2024-01-08
E56,Women in Tech Panel Discussion,RR Campus,ACM-W,"A panel discussion featuring successful women in the tech industry. Panelists will share their experiences, insights, and advice, inspiring participants to pursue and excel in technology-related fields.",Networking Opportunities,2024-01-20
E57,AI for Beginners Workshop,RR Campus,ACM-W,"A beginner-friendly workshop introducing the basics of artificial intelligence. Participants will gain hands-on experience with AI tools and applications, fostering an understanding of this rapidly evolving field.",AI Learning Resources,2024-02-02
E58,Women in Tech Hackathon,RR Campus,ACM-W,"An inclusive hackathon promoting collaboration and creativity. Teams will work on tech projects, showcasing their skills and innovative solutions to real-world problems.",Tech Gadgets,2024-02-15
E59,Career Development Seminar,RR Campus,ACM-W,"A seminar focusing on career development strategies for women in technology. Industry professionals will provide insights into career paths, networking, and skill-building for success.",Resume Review Services,2024-03-05
E60,Code and Coffee Social,RR Campus,ACM-W,"A casual networking event where participants can discuss coding, tech trends, and share experiences over coffee. An opportunity for attendees to connect with like-minded individuals.",None,2024-03-18
E61,Women in Tech Leadership Summit,RR Campus,ACM-W,"A summit focused on leadership in the tech industry. Keynote speakers and interactive sessions will empower women to take on leadership roles, driving positive change in the tech world.",Leadership Books,2024-04-02
E62,Tech Innovation Showcase,RR Campus,ACM-W,"A showcase featuring innovative projects and technologies led by women in technology. Participants will have the opportunity to present their work and gain recognition for their contributions.",Innovation Awards,2024-04-15
E63,Classical Concert: Raga Resonance,RR Campus,Ninaada,"A classical concert featuring the resonating ragas of Indian music. Participants will experience the beauty and depth of classical music performed by talented artists.",Raga Resonance Concert Commemorative Tokens,2023-12-08
E64,Kathak Fusion Dance Showcase,RR Campus,Ninaada,"A fusion dance showcase blending traditional Kathak dance with contemporary elements. Participants will witness a mesmerizing performance that combines classical grace with modern creativity.",Fusion Dance Showcase Appreciation Certificates,2023-12-20
E65,Sitar Workshop: Strings of Harmony,RR Campus,Ninaada,"A workshop exploring the art of playing the sitar. Participants will learn about the intricacies of sitar playing, the history of the instrument, and experience hands-on guidance.",Strings of Harmony Sitar Workshop Certificates,2024-01-02
E66,Tabla Solo: Percussive Beats,RR Campus,Ninaada,"A tabla solo performance showcasing the rhythmic beats and intricate patterns of the tabla. Participants will appreciate the percussive artistry and the expressive nature of tabla playing.",Percussive Beats Tabla Solo Tokens,2024-01-15
E67,Bharatanatyam Recital: Expressive Elegance,RR Campus,Ninaada,"A Bharatanatyam recital showcasing the expressive elegance of this classical dance form. Participants will witness storytelling through dance, intricate footwork, and emotive expressions.",Expressive Elegance Bharatanatyam Recital Certificates,2024-01-28
E68,Qawwali Night: Sufi Soul,RR Campus,Ninaada,"A Qawwali night featuring soul-stirring Sufi music. Participants will experience the devotional and melodic elements of Qawwali, with a focus on expressing spiritual sentiments through music.",Sufi Soul Qawwali Night Commemorative Tokens,2024-02-10
